video_id,title,category,category_name,duration_seconds,duration_minutes,views,likes,comments,published_at,like_view_ratio,comment_view_ratio,engagement_rate
zzx0JfzZ9KA,Makeup for Mature Women using ONLY Inexpensive Drugstore Products,26,How-to & Style,1520,25.333333333333332,1591607,39139,2320,2024-01-14T15:19:20Z,0.024590869479714526,0.0014576462656924732,0.026048515745407
z5dhDc20kk8,Glass Skin Makeup कैसे करते है | Trending ✅ Drag Proof Makeup | Wedding Bridal Makeup,26,How-to & Style,2639,43.983333333333334,1899945,41237,2000,2024-09-26T14:36:38Z,0.021704312493256384,0.001052662050743574,0.02275697454399996
r9vZItoI7yI,I Tested BEST vs WORST Selling SEPHORA Products,26,How-to & Style,1566,26.1,6369373,76168,3917,2024-05-11T14:30:18Z,0.011958476917586707,0.0006149741897671874,0.012573451107353894
znEgQ_0cTSM,I Bought EVERY FOUNDATION at SEPHORA  & TESTED Them Back to Back,26,How-to & Style,14352,239.2,2260567,21658,1831,2024-02-17T14:00:11Z,0.009580782166598027,0.0008099737809142574,0.010390755947512284
SHgDlW_zefM,Long Lasting Bridal Makeup for Summer / Step By Step  Bridal Makeup Tutorial For Dark Skin,26,How-to & Style,1419,23.65,1392575,7943,354,2024-07-18T15:53:44Z,0.005703822056262678,0.0002542053390302138,0.0059580273952928925
0QEJZpmrwbI,STEP BY STEP ✅ FESTIVE MAKEUP TUTORIAL | AFFORDABLE AND BUDGET FRIENDLY MAKEUP | DRAG PROOF TEST,26,How-to & Style,1762,29.366666666666667,1879846,30648,813,2024-10-02T07:38:18Z,0.016303463156024482,0.0004324822352469298,0.016735945391271413
ngDcPh9Ieyc,SELF PARTY MAKEUP FOR BEGINNERS ✅ |PARTY MAKEUP AT HOME | WINTER GLOWY BASE 😍,26,How-to & Style,1272,21.2,2817852,0,2667,2024-09-09T09:30:29Z,0.0,0.0009464656057166949,0.0009464656057166949
CFb68l_rdwM,he has NOT WASHED his Hair since 2016! (I found this in it),26,How-to & Style,1210,20.166666666666668,2574408,23308,3196,2024-06-12T23:05:40Z,0.009053731964785691,0.001241450461620691,0.010295182426406382
m2VHdJwoXD4,15 Mind Blowing Hair Transformations | Hottest Haircuts and Hair Color Trends,26,How-to & Style,1251,20.85,3403086,27839,3478,2024-10-25T14:30:20Z,0.008180516155042806,0.0010220135488788705,0.009202529703921675
qMWdiqrDWt4,My wife is too vain. Put her in the chair! (Premium video preview),26,How-to & Style,1271,21.183333333333334,2563407,4177,227,2024-12-18T14:30:06Z,0.001629472026876731,8.855402204956139e-05,0.0017180260489262922
U4dyZd4cYeo,"Wife Said ""No More Long Hair” – Her Reaction to His Transformation Is Priceless",26,How-to & Style,1845,30.75,1687463,26520,2157,2024-12-14T16:00:32Z,0.01571590014121791,0.0012782502490424974,0.01699415039026041
a1NWeofvFko,Barbie Wants Rainbow Hair! 🌈 Adorable Doll Makeover by 123 GO!,26,How-to & Style,2468,41.13333333333333,2057792,9708,269,2025-02-21T15:00:01Z,0.004717677977171648,0.00013072263863403105,0.004848400615805679
KQhseVUUuXk,Wife’s Reaction to His New Transformation Is Priceless,26,How-to & Style,1336,22.266666666666666,3235570,32783,2716,2024-10-05T15:00:31Z,0.010132063284058142,0.0008394193295153559,0.010971482613573497
yI9cZIL0wFc,Amazing Haircuts and Hair Color Transformations | Before and After Makeover,26,How-to & Style,1216,20.266666666666666,2296558,16339,1300,2025-04-21T15:45:13Z,0.0071145601373882135,0.0005660645191630257,0.007680624656551239
